대여소번호,count
742,8028
732,8021
4809,8006
4804,7989
3131,7982
1527,7976
2156,7976
335,7961
2089,7960
455,7954
1734,7954
353,7941
2642,7940
775,7933
2274,7930
199,7926
4468,7923
805,7923
1536,7918
475,7918
2703,7913
706,7904
2148,7878
379,7876
960,7869
1233,7850
836,7837
4026,7835
1080,7835
2266,7825
115,7813
3406,7806
3783,7805
188,7794
2116,7792
251,7774
1771,7762
1469,7761
1247,7758
3755,7757
1194,7751
1257,7748
1288,7740
3656,7737
2920,7735
1715,7735
338,7733
253,7729
4123,7720
604,7713
2251,7712
4705,7712
2743,7704
1729,7703
844,7694
129,7688
2538,7685
3008,7675
813,7673
3013,7665
464,7660
3115,7642
1051,7622
3860,7619
1750,7607
1929,7603
4105,7591
321,7588
828,7565
1346,7563
2012,7555
1695,7551
1303,7548
416,7547
610,7547
3411,7538
3811,7531
4408,7525
1186,7522
156,7512
1326,7512
1229,7509
4317,7497
2271,7496
391,7493
1754,7491
1373,7490
3787,7488
195,7484
809,7478
2413,7473
1965,7465
349,7457
519,7454
1030,7443
1405,7439
2652,7437
307,7436
399,7431
1833,7421
3502,7408
3414,7407
407,7403
1814,7401
1856,7397
4852,7395
1928,7388
2365,7364
919,7357
536,7357
198,7349
601,7343
1394,7342
963,7336
2237,7335
1805,7328
1430,7328
820,7316
2273,7310
930,7309
2317,7300
2359,7299
1519,7288
2503,7288
1464,7287
4062,7287
982,7286
2084,7285
4556,7268
3423,7265
4566,7251
3130,7242
1003,7238
1207,7231
2731,7231
562,7230
2429,7225
2185,7224
162,7220
1862,7218
2009,7212
155,7203
4500,7199
4031,7192
4674,7181
1159,7180
1060,7174
2206,7171
2823,7166
2316,7166
640,7159
1145,7158
2145,7142
1081,7138
1349,7135
807,7133
2372,7131
1457,7131
2122,7124
571,7118
1187,7114
2195,7107
2745,7107
1230,7099
1735,7090
2259,7088
900,7079
750,7071
4011,7070
759,7067
2712,7065
336,7062
488,7054
1628,7035
1474,7031
1634,7027
1775,7023
3774,7015
3763,7015
2128,7015
1654,7005
1554,7003
328,7002
389,7002
485,7000
2369,6999
2542,6981
2524,6971
4854,6964
1806,6957
2245,6954
318,6948
3508,6940
1752,6931
3505,6911
2375,6909
2020,6901
4568,6899
3879,6896
402,6895
1454,6891
712,6878
948,6873
408,6871
2063,6869
3204,6864
5052,6860
2086,6857
3525,6856
277,6850
2820,6835
790,6829
1526,6826
1642,6822
3110,6815
138,6795
1808,6793
3104,6790
2529,6788
2362,6787
1256,6771
3683,6753
901,6750
2082,6735
351,6733
1343,6722
1086,6721
1812,6714
4214,6711
250,6688
173,6667
1364,6633
4014,6633
1543,6633
4206,6628
4005,6621
904,6616
4819,6615
4370,6609
3963,6603
3507,6596
4620,6559
3757,6537
4211,6536
2408,6524
4526,6505
1516,6504
1109,6499
406,6491
1840,6480
4517,6474
2215,6468
2167,6456
3786,6447
332,6443
1659,6442
2415,6430
656,6424
2655,6408
2515,6406
1395,6404
1300,6398
4110,6390
372,6389
1828,6384
1360,6383
3762,6382
436,6376
1936,6369
1641,6366
1829,6355
1835,6354
665,6351
714,6347
403,6346
3311,6343
4478,6336
2387,6334
1085,6331
4855,6328
639,6319
845,6313
2313,6309
1217,6305
1671,6299
743,6296
3116,6280
1553,6280
4480,6278
4032,6272
4659,6264
725,6260
2325,6257
2420,6248
1846,6241
2740,6216
2528,6210
1358,6203
3129,6198
864,6197
140,6195
3687,6193
3529,6191
1253,6187
3510,6178
2095,6171
1821,6158
1770,6157
1568,6156
1998,6153
713,6151
1280,6147
2626,6138
1854,6131
4208,6126
707,6122
177,6112
413,6101
2409,6101
2198,6086
3718,6086
923,6081
1015,6079
1748,6058
2299,6056
2315,6055
518,6055
1924,6049
843,6046
1428,6038
1388,6032
4653,6025
850,6018
2627,6013
676,6010
135,6008
647,6007
586,6004
1532,6003
672,5997
1706,5992
1515,5992
3123,5982
552,5981
903,5979
1981,5962
782,5958
4778,5946
1548,5941
4528,5939
260,5933
3523,5930
324,5929
654,5917
450,5915
3113,5907
811,5902
1302,5901
852,5881
2418,5878
3779,5874
2250,5870
1420,5865
720,5864
1425,5863
745,5850
3122,5850
1746,5847
3614,5846
3707,5846
520,5842
472,5842
1299,5839
3628,5838
2037,5836
2227,5834
1344,5833
3412,5829
3959,5826
3207,5812
4454,5811
1348,5808
476,5806
2239,5805
2139,5795
1772,5793
946,5792
2645,5785
2654,5779
2144,5770
3711,5759
939,5750
1751,5749
306,5749
2308,5749
1436,5747
1518,5744
2607,5736
4107,5734
1719,5723
1296,5718
4212,5711
3516,5707
2263,5706
4362,5704
3581,5692
4016,5685
1016,5685
1049,5666
806,5658
2057,5647
2903,5644
1468,5641
1025,5637
2394,5628
1041,5628
4456,5625
4318,5624
285,5619
1465,5601
666,5590
1033,5580
607,5579
2537,5578
810,5563
3864,5560
425,5554
4793,5554
2293,5553
4303,5548
2410,5548
1068,5546
142,5540
1869,5538
1073,5526
3907,5519
1822,5500
1672,5496
